doc_id,pub_title,authors,SEFA_authors,pub_date,publication_link,author_links,keywords_list,abstract
24,Interbank liquidity risk transmission to large emerging markets in crisis periods,"Imtiaz Sifat, Alireza Zarei, Mehdi Hosseini, Elie Bouri","['Alireza Zarei', 'Mehdi Hosseini']",Jul 2022,https://pureportal.coventry.ac.uk/en/publications/interbank-liquidity-risk-transmission-to-large-emerging-markets-i,"['https://pureportal.coventry.ac.uk/en/persons/alireza-zarei', 'https://pureportal.coventry.ac.uk/en/persons/mehdi-hosseini']","['Credit risk', 'Liquidity risk', 'Bond market', 'Stock market', 'BRICS', 'TED', 'US VIX']","In this paper, we conduct two investigations regarding funding liquidity risk in large emerging economies: Brazil, Russia, India, China, and South Africa — BRICS. In the first, we track the relevance of monetary policy decisions originating in developed economies for interbank funding liquidity risk in BRICS economies during crisis periods by applying a time-varying parameter model in a Bayesian framework. The results indicate weak associations between interbank credit market and monetary policy and market conditions in the US. In contrast, the Federal Reserve's National Financial Conditions Index (NFCI) — a representative of the health of both real and financial sectors in the US — matters more. The temporal patterns of the results imply that key central banking decisions precede or coincide with low degrees of associations. In the second, we examine whether interbank credit crunch exerts an influence on market liquidity risk in BRICS economies using a Granger causality approach. The results reveal that interbank credit crunch depresses market liquidity in the corresponding domestic market and that the state of fear and credit market conditions in the US exert some influence in this regard. Overall, our findings hint at judicious market intervention and liquidity management by BRICS central banks."
25,Kuala Lumpur - from a tin mining settlement to a neoliberal stronghold of Southeast Asia,"Marek Kozlowski, Simon Huston",['Simon Huston'],22 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/kuala-lumpur-from-a-tin-mining-settlement-to-a-neoliberal-strongh,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],"['Thematic analysis', 'Urban planning', 'Colonial legacies']","Purpose: Kuala Lumpur (KL) emerged as the capital of the newly independent Federation of Malayan States in 1957 with a population of 316,000. Over the next 60 years, the city expanded into a major urban regional conurbation. It now covers an area of 2,790 km
              2 and has a population of around 7.7 million. In the last two decades, market-driven, fast-track development, underpinned by road infrastructure has accelerated the city's urban transformation. Especially over the last two decades, a spate of urban redevelopments, including commercial and retail complexes, specialised centres, industrial parks, educational complexes and residential estates have transformed the Kuala Lumpur Metropolitan Region (KLMR) beyond recognition. KL is only one example among many of intensive Southeast Asian property-led urban development, fuelled by demographic pressures and global capital inflows that transformed the regional natural and built environments. The purpose of this study is to investigate the influence of globalisation, neoliberalism and property-led development, on the built form and socio-cultural legacies of the KLMR. Design/methodology/approach: The major aim of this study is to determine how neoliberalism and property-led development have impacted the urban form and structure of the KLMR. The methodology applied in this study concentrates mainly on the use of qualitative research methods. The major qualitative research methods include qualitative analysis, field surveys and observations, primary and secondary data collection. The approach in this study is to exemplify the shift from government-sponsored development in the post-independence period to the current globalised-private oriented development. Findings: The major findings of this research suggest that the global, property-led mode of urban development, whilst superficially successful, undermined traditional and tropical-climate urban landscapes. It also bequeathed many urban or property level problems, including traffic congestion, air pollution, planning governance and building management issues. The paper outlines narratives for a more balanced and sustainable mode of urban development, which is more in tune with local culture and climatic conditions. Originality/value: This paper provides a deep insight analysis and evaluation of KL's growth from a small town into a global metropolitan region where property-led development dictates the rules and determines the character of the city.
            "
26,Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,"Mahalaxmi Adhikari Parajuli, Mehul Chhatbar, Abeer Hassan",['Mehul Chhatbar'],12 May 2022,https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep,['https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar'],"['Non-financial reporting', 'higher education institutions,', 'neo-institutional theory', 'panel data', 'Corporate Governance']","Purpose – This study aims to measure the relationship between corporate governance and Non-Financial Reporting (NFR) in Higher Education Institutions (HEIs). Board effectiveness, student engagement, audit quality, Vice-Chancellors (VC) pay, and VC gender are targeted for analysis.Design/methodology/approach – This study is based on content analysis. We used the EU NFR Directive (2014/95/EU) to measure NFR. This includes environmental, corporate social responsibility, human rights, corporate board effectiveness, and corruption and bribery. Cross sectional data was collected form 89 HEIs worldwide across 15 different countries over three years. Content analysis, the weighted scoring method and panel data analysis are employed to obtain the results.Findings – Through a neo-institutional theoretical lens, this study provides a broader understanding of NFR content disclosure practices within HEIs. Our findings reveal that the audit quality, VC pay, and VC gender are significantly and positively associated with NFR content disclosure. However, board effectiveness has a significant negative impact on NFR content disclosure. More interestingly, our findings reveal that student engagement has an insignificant association with NFR content disclosure and there significant difference on the level of NFR content disclosure across universities situated in different geographical region such as USA, Australia, UK, and EU, Asia & Canada. Our findings have important implications for regulators and policymakers. Our evidence appears to be robust when controlling for possible endogeneities.Originality/value – The study contributes to the literature on corporate non-financial disclosure as it provides new insights of corporate governance mechanism and NFR disclosure within HEIs."
27,Middle Eastern Extinctions: Building a Religious Motivation for Species Protection,"Tariq Al Montaser, Jill Atkins, Ali Elfadli, Abdullah Eskandarany, Abeer Hassan, Omar Mowafi, Simon Norton, Mohamed Saeudy",['Tariq Al Montaser'],30 May 2022,https://pureportal.coventry.ac.uk/en/publications/middle-eastern-extinctions-building-a-religious-motivation-for-sp,['https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser'],[],"he extinction and biodiversity accounting literature focused initially on developed economies including the UK and Europe, spreading recently to research on Africa, especially South Africa, China and other countries in the Far East. The Middle East, however, has not received attention in the academic literature. Furthermore, there seems to be less information readily available on species extinction and biodiversity degradation in Middle Eastern countries. In this chapter, we address species extinctions in Saudi Arabia, Jordan and Libya to provide insights into the situation in these countries, problems and issues arising, as well as potential solutions. The authors present the causes of species extinctions in the Middle East as well as provide information on some of the initiatives underway to prevent extinctions. Whilst most of this book focuses on motivations for species protection grounded in financial materiality, accountability, legitimacy and ethics, this chapter builds a religious rationale, indeed imperative, for species protection and biodiversity conservation. Part I of this chapter discusses the status of threatened species in Saudi Arabia, providing an understanding of the importance of religion as a rationale for species protection. In Part II, the status of threatened species in Jordan is discussed. Part III provides detailed interview evidence on the deterioration of biodiversity in Libya and for enhanced species protection.evidence on the deterioration of biodiversity in Libya and the need for enhancedspecies protection."
28,Non‑executive employee ownership and financial reporting quality: evidence from Europe,"Sami Adwan, Alaa Alhaj Ismail, Ranko  Jelic",['Alaa Alhaj Ismail'],22 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/nonexecutive-employee-ownership-and-financial-reporting-quality-e,['https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail'],"['Financial reporting quality', 'Rank and fle employees', '· Earnings management ·', 'Employee ownership']","This paper examines the association between non-executive employee shareholding and financial reporting quality. The analysis is conducted using a sample of non-financial firms listed in eleven European countries between 2006 and 2017. We find a positive association between non-executive employee ownership and financial reporting quality. Furthermore, we find this positive association to be more pronounced for firms operating in the following settings: higher labour union density, more industry peer firms and more flexible labour market regulations. Overall, these findings support the view that employee shareholding enhances the quality of financial reporting by aligning the interests of employees with those of shareholders through two channels: reduced agency problems and enhanced employee retention. Our study contributes to the research on the impact of ownership characteristics on financial reporting incentives. It underscores the role non-executive employee ownership can play in improving a firm’s corporate governance and therefore the quality of financial reporting."
29,Price run-ups and insider trading laws under different regulatory environments,"Styliani (Elina) Panetsidou, Angelos Synapis, Ioannis Tsalavoutas","['Styliani (Elina) Panetsidou', 'Angelos Synapis']",Aug 2022,https://pureportal.coventry.ac.uk/en/publications/price-run-ups-and-insider-trading-laws-under-different-regulatory,"['https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou', 'https://pureportal.coventry.ac.uk/en/persons/angelos-synapis']","['Price run-ups', 'Takeovers', 'Insider trading laws', 'Alternative investment market (AIM)', 'Main market (MM)']","We examine target firms’ price run-ups prior to takeovers in two different exchange regulatory environments within the same country. We show that target firms listed both in the secondary market of the UK, known as the Alternative Investment Market (AIM), and in the traditionally regulated Main Market, experience significant abnormal stock returns prior to takeover announcements. These results persist after controlling for market anticipation, indicating signs of information leakage. Contrary to the narrative that secondary markets may be more susceptible to market abusive behaviors, we find that the AIM targets experience significantly lower pre-announcement returns. In addition, we do not find support that the introduction of stricter laws reduces the price run-ups in any of the two markets. In sharp contrast, we find support that the enforcement of insider trading laws, through criminal convictions, reduces the pre-announcement abnormal stock returns but only in the market in which the enforcement focuses."
30,Smart city dynamics and multi-level management accounting: unfolding a case of sustainable enterprise resource planning,Loai Alsaid,['Loai Alsaid'],3 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/smart-city-dynamics-and-multi-level-management-accounting-unfoldi,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid'],"['Smart city dynamics', 'Multi-level management  accounting', 'Sustainable enterprise resource planning', 'Institutional sustainability pressures', 'State-owned enterprises', 'Egypt', 'M41', 'M48', 'O2', 'O33', 'O55', 'R5']","Purpose: This study aims to explore the complex, multi-level institutional dynamics of smart city reforms and projects and their potential sustainability pressures on the implementation of a management accounting system in an Egyptian state-owned enterprise (SOE), which has a politically sensitive institutional character. Design/methodology/approach: This study adds to institutional management accounting research using a multi-level perspective of institutional dynamics in the smart city context. Data were collected from an interpretive case study of an Egyptian SOE that was under socio-political sustainability pressures to implement a smart electricity network project in New Minya city. Findings: Smart city projects have formed social and political sustainability pressures, which introduced the enterprise resource planning (ERP) network as a new management accounting system. A new (complex and multi-level) management accounting system was invented to reinvent the sustainable city as an “accounting city” (which appeared rhetorically as a “smart city”). “Smart” being the visibility and measurability of the sustainability performance of the collective body, which calls the city and its connectivity to different institutional levels brought out in a city network project for the ERP-enabled electricity distribution. Research limitations/implications: This study examines a single case study from a single smart city and identifies the accounting community’s need for multiple and comparative case studies to further analyse the potential impact of smart city reforms and projects on the sustainable implementation of management accounting systems. Practical implications: City policymakers and managers may benefit from the practical findings of this interpretive field-based case study in planning, implementing and monitoring smart city projects and objectives. Social implications: Individual and collective well-being may be enhanced through new management accounting forms of multi-level local governance and increased political, field and organisational sustainability. Originality/value: This study provides important insights into the sustainability dynamics of management accounting in achieving smart city reforms. The achievement of sustainability management accounting systems has connected to multiple ERP roles at different institutional levels, which resulted in accommodating the socio-political objectives of smart city projects."
31,Socially responsible investment (SRI) Sukuk as a financing alternative for post COVID-19 development project,"Rashedul Hasan, Sivakumar Velayutham, Abu Faisal Khan",['Rashedul Hasan'],19 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/socially-responsible-investment-sri-sukuk-as-a-financing-alternat,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],"['Accountability', 'COVID-19', 'Public–private partnership', 'Socially responsible investment', 'SRI sukuk']","Purpose: COVID-19 has disrupted the economic development of both advanced and emerging markets. In addition to the stimulus packages to adjust the economic shock from COVID-19, regulators around the world are searching for innovative mechanisms to rebuild the economy. The purpose of this paper is to explore the potential of SRI Sukuk to serve as an Islamic social finance solution for development projects to mitigate the adverse economic effects of COVID-19. Design/methodology/approach: This study uses a mixed-method research framework. The authors use a systematic literature review following the recommendations of Bowen (2009) to identify critical challenges financing PPP projects using SRI Sukuk. In the next phase, the authors interview participants involved in an SRI Sukuk financed PPP project to get more significant insights on the challenges identified through the literature review process. Findings: The authors identify the need for greater transparency for SRI financed PPP projects. Also, organisational and legislative challenges are limiting the attractiveness of SRI Sukuk as a financing mechanisms for post-COVID development projects. Practical implications: SRI Sukuk is an emerging financing concept, and the use of such an Islamic financial instrument in financing development projects can serve as a viable alternative for policymakers in a post-COVID economic environment. Social implications: The successful completion of the development projects integrating the concept of Social Maslahah through SRI Sukuk in Malaysia could encourage other emerging economies to use such innovative Islamic financial instrument for economic development in post-COVID environment. Originality/value: This paper is unique, as it provides evidence on the potential of SRI Sukuk to finance large scale public-private partnership projects."
32,"Sustainability accounting and reporting: an ablative reflexive thematic analysis of climate crisis, conservative or radical reform paradigms",Simon Huston,"['Simon Huston', 'Huston, S.']",2 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-an-ablative-reflexive-the,"['https://pureportal.coventry.ac.uk/en/persons/simon-huston', 'https://pureportal.coventry.ac.uk/en/persons/simon-huston']","['climate crisis', 'Sustainability Accounting and Reporting', 'Accounting and Finance', 'Plastic pollution', 'ESG disclosure', 'sustainability assessment', 'sustainability']","Every year the global financial system sends trillions of dollars to finance environmental destruction, but the climate crisis forces change.  Notwithstanding vested interests and the unrecognised paradox of adopting environmental business strategies, the implementation of sustainability accounting and reporting (SAR) is imperative to catalyse economic transition away from fossil-fuel and plastic configurations to more sustainable ones.  The research proceeded sequentially.  First, it scanned the backdrop to the SAR problem and identified key associated institutions and a corpus of recent literature.  An initial review to disentangle its conflicting threads generated three themes of ‘climate crisis’ and ‘conservative’ or more ‘radical’ SAR reform paradigms.  Iteratively harnessing this thematic lens, the investigation re-examined the SAR literature corpus.  It detected fragmented SAR responses to the climate crisis.  Accordingly, the research reformulated its first theme to ‘dystopic climate crisis fragmentation’ but only refined the other two conservative or radical themes to take account of materiality and the split between Anglo-Saxon (IFRS, SSAB) or global and continental institutions (UN, EU, GRI).  Conservatives defend incremental standard improvements but retain a single materiality investor-focus.  Radicals seek to implement double materiality with a broader spectrum of stakeholders in mind.  Both approaches have theoretical as well as pragmatic advantages and disadvantages, so the SAR contention rumbles on.  Whilst the standard setting landscape is evolving, division, paradox and contention remain.  Given vested interests in the destructive status quo, it would be naïve to expect a harmonious SAR Ithaca to emerge anytime soon.  Yet the challenges impel urgent action."
33,Sustainability accounting and reporting: Technical summary,Simon Huston,['Simon Huston'],30 May 2022,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-technical-summary,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],"['Accounting and Finance', 'Financial Reporting', 'Financial reforms', 'Sustainability']","This brief technical summary of the state of play in the sustainability accounting and reporting area highlights an unresolved tension between single and double materiality perspectives.  Increasing environmental pressures and the true and fair view override, compromise the relevance of single materiality accounts but resistance to change invokes the fear of excessive red tape and autocratic regimentation, stifling innovation. "
34,The diffusion of innovation theory and the effects of IFRS adoption by multinational corporations on capital market performance: a cross-country analysis,"Ibrahim Elmghaamez, Rexford Attah-boakye, Kweku Adams, Jacob Agyemang",['Ibrahim Elmghaamez'],1 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/the-diffusion-of-innovation-theory-and-the-effects-of-ifrs-adopti,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],"['International Financial Reporting Standards', 'diffusion of innovation theory', 'financial market consequences', 'stock market indicators']","This article seeks to contribute to International Financial Reporting Standards (IFRS) literature by examining the effects of adopting IFRS on stock market performance worldwide from the diffusion of innovation theory perspective. Our study revealed several interesting findings after using combinations of unique panel data sets from 110 countries worldwide and conducting a robust empirical analysis from 1995 to 2014. First, we found a positive association between late mandatory IFRS adoption and stock market integration in Europe. Second, our findings indicate a significant negative association between early IFRS adoption and the following financial indicators: stock market trading volumes, stock market capitalization, market turnover, and market return. Third, our study reveals an insignificant association between early IFRS adoption and stock price volatility alongside stock market development. Our findings are robust and have significant practical and policy implications for regulators and policymakers of multinational corporations."
35,The nexus between environmental and financial performance: Evidence from gulf cooperative council banks,"Rashedul Hasan, Mohammad Dulal Miah, M. Kabir Hassan",['Rashedul Hasan'],31 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/the-nexus-between-environmental-and-financial-performance-evidenc,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],"['GCC', 'commercial banks', 'environmental performance', 'financial performance', 'green banking']","The paper examines the impact of banks environmental performance on their financial and market performance. We collect data from 56 gulf cooperative council (GCC) banks for the period 2010–2019. We apply ordinary least square (OLS), fixed effect, and generalized method of moments (GMM) estimation techniques and show that GCC banks' environmental performance negatively affects their accounting performance. The results, however, exhibit no significant impact of banks' environmental performance on market performance. Moreover, conventional banks have better environmental performance than their Islamic counterparts. Our results are consistent across different estimation techniques after controlling for endogeneity issues. The findings of the study are novel and offer important policy implications for management, regulatory authority, and environmental activists."
36,The relative effectiveness of R&D tax credits and R&D subsidies: A comparative Meta-Regression Analysis,"Christos Dimos, Geoffrey Pugh, Mehtap Hisarciklilar, Ema Talam, Ian Jackson",['Mehtap Hisarciklilar'],Jul 2022,https://pureportal.coventry.ac.uk/en/publications/the-relative-effectiveness-of-rampd-tax-credits-and-rampd-subsidi,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar'],"['R&D tax credits', 'R&D subsidies', 'Meta-regression analysis', 'Publication bias', 'Policy evaluation', 'Additionality']","There are large primary literatures that evaluate the effectiveness of either R&D tax credits or R&D subsidies in promoting private R&D. However, this Meta-Regression Analysis, by investigating these literatures jointly, is the first study that systematically measures and compares the effectiveness of these two policy instruments. After controlling for publication selection and sources of heterogeneity, we find that both tax credits and subsidies induce additional private R&D and that neither instrument systematically outperforms the other. However, whereas subsidy effects are increasing over time tax credit effects are not. Although their respective effects are “small”, they are not negligible: in round terms, an additional $1 of public R&D support of either type induces 7.5 cents of additional private R&D expenditure. Sources of heterogeneity in the reported effects include: tax credits are most effectively delivered as “incremental” schemes, are more effective in economies with a balanced “policy-mix” regime, and are generally less effective for micro firms and SMEs than for large firms; while subsidies are more effective for manufacturing firms, although not for high-tech firms, and are more effective than tax credits in economies predominantly using subsidies. Finally, we argue for the importance of statistical power in the design of evaluation studies."
37,The rise and fall of institutional entrepreneurship in Islamic financial reporting standardisation projects,"Ahmad Abras, Muhammad Al Mahameed ",['Ahmad Abras'],10 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/the-rise-and-fall-of-institutional-entrepreneurship-in-islamic-fi,['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras'],"['financial reporting standards', 'AAOIFI', 'Sharia', 'Accounting change', 'Islamic accounting and finance', 'Institutional Entrepreneurship']","This paper explores the institutional entrepreneurship process. It focuses on how institutional entrepreneurs implement their vision of accounting change in the Islamic financial reporting standardisation initiatives while providing insights into why these actors may fail in this process. Research findings informed by semi-structured interviews and document analysis demonstrate that institutional entrepreneurs’ attainment of accounting change is subject to their ability to collectively and skilfully frame, promote and institutionalise their entrepreneurial vision, mobilise allies and alleviate the resistance of field’s “incumbents”. The paper contributes to the accounting change literature by expanding our understanding of the determinants of successful accounting change and of how institutional entrepreneurs can effect change in the contemporary accounting system. It also contributes to the ongoing institutional entrepreneurship theorisation by revealing the contingencies through which actors may overcome the barriers to change in highly institutionalised systems."
38,Tourism And Exports: The Case of Singapore,"Nicholas Tsounis, George Agiomirgianakis, Dimitris Serenis, Antonios Adamopoulos",['Dimitris Serenis'],18 May 2022,https://pureportal.coventry.ac.uk/en/publications/tourism-and-exports-the-case-of-singapore,['https://pureportal.coventry.ac.uk/en/persons/dimitris-serenis'],"['Causality', 'Cointegration', 'J-curve', 'Singapore', 'Tourism', 'Trade']","In this article, we examine the relationship between inbound tourism and exports in Singapore. We address whether there is a long-run relationship between exports and tourism and the direction of causality between these two variables. Our findings suggest a long-run relation between Singapore’s exports and inbound tourism and that the causation is bidirectional. This implies that inbound tourism in Singapore results in a higher demand for its domestic products. This increased demand for Singaporean products, in turn, acting as a positive advertising campaign in favor of Singapore, promotes inbound tourism to this country. The policy implication of these findings is twofold. First, inbound tourism in Singapore not only contributes directly to GDP, employment, and the current account via tourism revenues but also by stimulating exports it improves further the current account of Singapore. Secondly, the stimulation of exports induced by inbound tourism creates favorable sustainability conditions for the entire tourism sector. However, one should be cautious that this effect is taking more than 9 months to materialize and that inbound tourism may initially have a negative impact effect on Singapore’s exports as the overtime effect of tourism on exports exhibits a J-curve behavior."
39,Unveiling the black swan of the finance‐growth Nexus: Assumptions and preliminary evidence of virtuous and unvirtuous cycles,"Eliana Lauretta, Sajid M. Chaudhry, Daniel Santamaria","['Eliana Lauretta', 'Daniel Santamaria']",12 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/unveiling-the-black-swan-of-the-financegrowth-nexus-assumptions-a,"['https://pureportal.coventry.ac.uk/en/persons/eliana-lauretta', 'https://pureportal.coventry.ac.uk/en/persons/daniel-santamaria']","['business cycle', 'financial innovation', 'financial power', 'financial system', 'growth', 'regulatory dialectic']","Empirical evidence behind the nature of the finance-growth nexus and mediating drivers behind this association is well documented in the literature. However, a framework that depicts the association between credit creation, financial innovation and endogenous creation of boom-bust cycles is less evident and the gap between empirical research and theoretical development remains. Hence, this study represents a first attempt to provide a framework that could explain the switch of economic cycles from virtuous to unvirtuous and vice versa. We examine the role of financial innovation and identify its “hidden soul” defined as the rate of financial innovation (RoFIN). We study RoFIN together with other structural factors, such as monopolistic financial power concentration and financial deregulation in the creation of what we identify as the wealth trap, as a potential mediating factor behind the creation of virtuous and unvirtuous cycles. A cross-country statistical exercise using the VUC indicator on the United States, United Kingdom, and Euro area economies shows the exponential effect of the rate of financial innovation over time and provides indicative evidence in support of our framework. Finally, we report that the indicator is better able to identify the unvirtuous cycle stages than the traditionally used Credit-to-GDP ratio."
40,Why do Sukuks (Islamic Bonds) need a different pricing model?,"Md Hamid Uddin, Sarkar Kabir, M. Kabir Hassan, Mohammed Sawkat Hossain, Jia Liu","['Sarkar Kabir', 'Sarkar Kabir']",Apr 2022,https://pureportal.coventry.ac.uk/en/publications/why-do-sukuks-islamic-bonds-need-a-different-pricing-model,"['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir', 'https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir']","['reference rate', 'sukuk pricing', 'systematic risk factors', 'two factor model']","The global interest in sukuk, an Islamic alternative to bond financing, has grown rapidly, particularly after the 2008 global financial crisis, due to its distinctive features and investment quality. Sukuk were first launched in Malaysia and are presently available in 29 countries, including the United Kingdom, United States, Singapore, Hong Kong, and Luxembourg. Despite the global market prevalence of sukuk, asset pricing literature has not yet addressed the pricing mechanism of sukuk, which is inherently different from bonds and equity due to the contractual differences. However, analysts use LIBOR, or the Islamic interbank benchmark rate, as the ad‐hoc benchmark to evaluate sukuk performance. In this study, we develop a basic pricing model that captures the common risks in sukuk returns. We identify two risk factors for sukuk that require risk premiums: (a) sukuk market risk and (b) information asymmetry risk. Using these two common sukuk risks factors, investment analysts can estimate the fair value of sukuk more precisely than other ad hoc measures available."
41,A global analysis of Private Investments in Public Equity,"Dimitris Andriosopoulos, Styliani Panetsidou",['Styliani Panetsidou'],Aug 2021,https://pureportal.coventry.ac.uk/en/publications/a-global-analysis-of-private-investments-in-public-equity-2,['https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou'],"['Private Investment in Public Equity (PIPE)', 'Stock performance', 'Cross-country', 'Institutional frameworks', 'regulatory quality', 'Enforcement', 'Regulations', 'MiFID', 'Institutional frameworks, Regulatory quality']","Raising equity capital via Private Investments in Public Equity (PIPEs) has been rising in popularity, matching Seasoned Equity Offerings (SEOs). We use over 10,000 PIPEs in a global setting during 1995–2015 to assess how and through which channels institutional frameworks affect the issuers' performance. We document a significant decline in the market reaction, especially during 2004–2015 and find that firms issuing equity via PIPEs have significantly worse fundamentals. We also show that country governance matters as issuing firms operating in countries with better regulatory environments outperform others. Finally, we find that regulatory enforcement is a plausible underlying channel for the positive effect of the institutional frameworks on PIPEs performance."
42,A Historical Institutionalist Perspective on the Persistence of State Controls during Financial Sector Reforms: The Insightful Case of Myanmar,"Sandar Win, Alexander Kofinas",['Sandar Win'],26 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/a-historical-institutionalist-perspective-on-the-persistence-of-s,['https://pureportal.coventry.ac.uk/en/persons/sandar-win'],"['Financial reforms', 'Historical institutionalism', 'Market reforms', 'Privatisation', 'Public sector', 'State controls']","Purpose: Many transition economies are former socialist planned economies and have undergone market reforms of their financial sector to signal their transition towards democracy. However, governments in these countries have been reluctant to relinquish the pre-existing controls on economy and have adopted nuanced and sophisticated approaches to retain control. In such context, scholars may find it challenging to investigate the role played by the state in the success or failure of attempted market reforms. This work investigates the different forms of state-induced accounting controls that may preserve the status quo within the economy during transition, using Myanmar as an example. Design/methodology/approach: The authors adopted a longitudinal qualitative research method aiming to reveal the very processes and mechanisms used by the banks and their evolution over time. This method is in accordance with the historical institutionalist perspective that they have applied within this research. Findings: The authors found that the Myanmar government embarked on the privatisation of their financial sector from 1990 to 2016 as a major public sector reform initiative. Under the guise of market reforms, it used both state-led and market-led controls to emulate and retain the socialist banking model where banks are used to fund the immediate government's budget deficits. This created a series of intended and unintended consequences, resulting in the ultimate failure of the government's market reforms. Research limitations/implications: Previously, research on public sector management accounting in emerging economies was not relying consistently on using theory. The relative limited theorisation led to gaps when attempting to understand and explain the opaque forms of state control mechanisms in transition economies. By applying historical institutionalist perspective, and a more theory-driven, reflective approach to the interpretation of the data collected, the authors have provided a deeper insight and understanding on how different forms of state controls can emerge, adapt and persist in transition economies such as Myanmar. Practical implications: The authors demonstrated that though the state may have implemented market reforms to signal regimes change, this does not necessarily mean that the government has relinquished their control on the economy. The state could take a more sophisticated, covert approach towards state controls leading to both intended and unintended consequences. Thus, even if the state's preferences change, the decisions cannot be easily reversed, as path-dependent state controls may have become pervasive affecting any further institutional and policy developments. Thus, the authors suggest that governments in both transition and developed economies should be cautious when enacting regulations on corporate control. Originality/value: In this paper, the authors have applied a historical institutional perspective in their analysis instead of the more widely used sociological, institutionalist approach. This allowed authors to harness rich longitudinal data indicating that market reforms and their success or failure should be examined as an ongoing process rather than a completed action. This is especially important in transition economies where the state may be unwilling to renounce the existing controls on the industry and may resort to more opaque forms of state control, eventually obstructing the intended reforms."
